TYPE,NAME,CONTEXT,LANGUAGE,FILE,LINE_NUMBER,SPLIT_IDENTIFIER,GRAMMAR_PATTERN,IDENTIFIER_ID,POSITION,NORMALIZED_POSITION,CONTEXT_NUMBER,WORD,CORRECT_TAG
Mem,pMem1,PARAMETER,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,84995,p Mem 1,PRE N D,24,0,0,5,p,PRE
Mem,pMem1,PARAMETER,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,84995,p Mem 1,PRE N D,24,1,1,5,mem,N
Mem,pMem1,PARAMETER,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,84995,p Mem 1,PRE N D,24,2,2,5,1,D
u8,aOldRecord1,PARAMETER,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,213327,a Old Record 1,PRE NM N D,25,0,0,5,a,PRE
u8,aOldRecord1,PARAMETER,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,213327,a Old Record 1,PRE NM N D,25,1,1,5,old,NM
u8,aOldRecord1,PARAMETER,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,213327,a Old Record 1,PRE NM N D,25,2,1,5,record,N
u8,aOldRecord1,PARAMETER,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,213327,a Old Record 1,PRE NM N D,25,3,2,5,1,D
float,hbp1,DECLARATION,C,cloned_repositories/ccv.git/lib/nnc/cmd/compare/ccv_nnc_max_cpu_ref.c,189,hbp 1,N D,26,0,0,3,hbp,N
float,hbp1,DECLARATION,C,cloned_repositories/ccv.git/lib/nnc/cmd/compare/ccv_nnc_max_cpu_ref.c,189,hbp 1,N D,26,1,2,3,1,D
float32x4_t,dn1x2,DECLARATION,C,cloned_repositories/ccv.git/lib/nnc/cmd/convolution/cpu_opt/_ccv_nnc_conv_cpu_4x4_3x3_winograd.c,1876,dn 1 x 2,N D P D,27,0,0,3,dn,N
float32x4_t,dn1x2,DECLARATION,C,cloned_repositories/ccv.git/lib/nnc/cmd/convolution/cpu_opt/_ccv_nnc_conv_cpu_4x4_3x3_winograd.c,1876,dn 1 x 2,N D P D,27,1,1,3,1,D
float32x4_t,dn1x2,DECLARATION,C,cloned_repositories/ccv.git/lib/nnc/cmd/convolution/cpu_opt/_ccv_nnc_conv_cpu_4x4_3x3_winograd.c,1876,dn 1 x 2,N D P D,27,2,1,3,x,P
float32x4_t,dn1x2,DECLARATION,C,cloned_repositories/ccv.git/lib/nnc/cmd/convolution/cpu_opt/_ccv_nnc_conv_cpu_4x4_3x3_winograd.c,1876,dn 1 x 2,N D P D,27,3,2,3,2,D
float,hp1,DECLARATION,C,cloned_repositories/ccv.git/lib/nnc/cmd/ew/ccv_nnc_ew_cpu_ref.c,1517,hp 1,N D,28,0,0,3,hp,N
float,hp1,DECLARATION,C,cloned_repositories/ccv.git/lib/nnc/cmd/ew/ccv_nnc_ew_cpu_ref.c,1517,hp 1,N D,28,1,2,3,1,D
float,cp0,DECLARATION,C,cloned_repositories/ccv.git/lib/nnc/cmd/ew/ccv_nnc_ew_cpu_ref.c,711,cp 0,N D,29,0,0,3,cp,N
float,cp0,DECLARATION,C,cloned_repositories/ccv.git/lib/nnc/cmd/ew/ccv_nnc_ew_cpu_ref.c,711,cp 0,N D,29,1,2,3,0,D
uint32_t,unknown24,DECLARATION,C++,cloned_repositories/cling.git/lib/Interpreter/IncrementalCUDADeviceCompiler.cpp,381,unknown 24,N D,30,0,0,3,unknown,N
uint32_t,unknown24,DECLARATION,C++,cloned_repositories/cling.git/lib/Interpreter/IncrementalCUDADeviceCompiler.cpp,381,unknown 24,N D,30,1,2,3,24,D
uint32_t,unknown20,DECLARATION,C++,cloned_repositories/cling.git/lib/Interpreter/IncrementalCUDADeviceCompiler.cpp,380,unknown 20,N D,31,0,0,3,unknown,N
uint32_t,unknown20,DECLARATION,C++,cloned_repositories/cling.git/lib/Interpreter/IncrementalCUDADeviceCompiler.cpp,380,unknown 20,N D,31,1,2,3,20,D
class,BypassComparison_8192x8192,CLASS,Java,cloned_repositories/deeplearning4j.git/contrib/benchmarking_nd4j/src/main/java/org/nd4j/bypass/BypassComparison_8192x8192.java,41,Bypass Comparison 8192 x 8192,NM N D P D,32,0,0,2,bypass,NM
class,BypassComparison_8192x8192,CLASS,Java,cloned_repositories/deeplearning4j.git/contrib/benchmarking_nd4j/src/main/java/org/nd4j/bypass/BypassComparison_8192x8192.java,41,Bypass Comparison 8192 x 8192,NM N D P D,32,1,1,2,comparison,N
class,BypassComparison_8192x8192,CLASS,Java,cloned_repositories/deeplearning4j.git/contrib/benchmarking_nd4j/src/main/java/org/nd4j/bypass/BypassComparison_8192x8192.java,41,Bypass Comparison 8192 x 8192,NM N D P D,32,2,1,2,8192,D
class,BypassComparison_8192x8192,CLASS,Java,cloned_repositories/deeplearning4j.git/contrib/benchmarking_nd4j/src/main/java/org/nd4j/bypass/BypassComparison_8192x8192.java,41,Bypass Comparison 8192 x 8192,NM N D P D,32,3,1,2,x,P
class,BypassComparison_8192x8192,CLASS,Java,cloned_repositories/deeplearning4j.git/contrib/benchmarking_nd4j/src/main/java/org/nd4j/bypass/BypassComparison_8192x8192.java,41,Bypass Comparison 8192 x 8192,NM N D P D,32,4,2,2,8192,D
ArrayList,paths2,DECLARATION,Java,cloned_repositories/deeplearning4j.git/datavec/datavec-api/src/main/java/org/datavec/api/io/filters/RandomPathFilter.java,73,paths 2,NPL D,33,0,0,3,paths,NPL
ArrayList,paths2,DECLARATION,Java,cloned_repositories/deeplearning4j.git/datavec/datavec-api/src/main/java/org/datavec/api/io/filters/RandomPathFilter.java,73,paths 2,NPL D,33,1,2,3,2,D
int,B1110,ATTRIBUTE,Java,cloned_repositories/deeplearning4j.git/datavec/datavec-api/src/main/java/org/datavec/api/records/IOUtils.java,259,B 1110,N D,34,0,0,1,b,N
int,B1110,ATTRIBUTE,Java,cloned_repositories/deeplearning4j.git/datavec/datavec-api/src/main/java/org/datavec/api/records/IOUtils.java,259,B 1110,N D,34,1,2,1,1110,D
String,LAYER_FIELD_POOL_1D_SIZE,ATTRIBUTE,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/config/Keras1LayerConfiguration.java,87,LAYER FIELD POOL 1D SIZE,NM NM N NM NM,35,0,0,1,layer,NM
String,LAYER_FIELD_POOL_1D_SIZE,ATTRIBUTE,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/config/Keras1LayerConfiguration.java,87,LAYER FIELD POOL 1D SIZE,NM NM N NM NM,35,1,1,1,field,NM
String,LAYER_FIELD_POOL_1D_SIZE,ATTRIBUTE,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/config/Keras1LayerConfiguration.java,87,LAYER FIELD POOL 1D SIZE,NM NM N NM NM,35,2,1,1,pool,N
String,LAYER_FIELD_POOL_1D_SIZE,ATTRIBUTE,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/config/Keras1LayerConfiguration.java,87,LAYER FIELD POOL 1D SIZE,NM NM N NM NM,35,3,1,1,1d,NM
String,LAYER_FIELD_POOL_1D_SIZE,ATTRIBUTE,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/config/Keras1LayerConfiguration.java,87,LAYER FIELD POOL 1D SIZE,NM NM N NM NM,35,4,2,1,size,NM
class,KerasConvolution2D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasConvolution2D.java,146,Keras Convolution 2D,PRE N NM,36,0,0,2,keras,PRE
class,KerasConvolution2D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasConvolution2D.java,146,Keras Convolution 2D,PRE N NM,36,1,1,2,convolution,N
class,KerasConvolution2D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasConvolution2D.java,146,Keras Convolution 2D,PRE N NM,36,2,2,2,2d,NM
class,KerasDepthwiseConvolution2D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasDepthwiseConvolution2D.java,228,Keras Depthwise Convolution 2D,PRE NM N NM,37,0,0,2,keras,PRE
class,KerasDepthwiseConvolution2D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasDepthwiseConvolution2D.java,228,Keras Depthwise Convolution 2D,PRE NM N NM,37,1,1,2,depthwise,NM
class,KerasDepthwiseConvolution2D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasDepthwiseConvolution2D.java,228,Keras Depthwise Convolution 2D,PRE NM N NM,37,2,1,2,convolution,N
class,KerasDepthwiseConvolution2D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasDepthwiseConvolution2D.java,228,Keras Depthwise Convolution 2D,PRE NM N NM,37,3,2,2,2d,NM
class,KerasUpsampling1D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasUpsampling1D.java,95,Keras Upsampling 1D,PRE N NM,38,0,0,2,keras,PRE
class,KerasUpsampling1D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasUpsampling1D.java,95,Keras Upsampling 1D,PRE N NM,38,1,1,2,upsampling,N
class,KerasUpsampling1D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasUpsampling1D.java,95,Keras Upsampling 1D,PRE N NM,38,2,2,2,1d,NM
class,KerasZeroPadding1D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasZeroPadding1D.java,99,Keras Zero Padding 1D,PRE NM N NM,39,0,0,2,keras,PRE
