WORD,SWUM_TAG,POSSE_TAG,STANFORD_TAG,POSITION,MAXPOSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG
check,V,FAILURE,V,0,3,0,0,V
Not,DT,FAILURE,VM,1,3,1,0,VM
Interface,N,FAILURE,N,2,3,2,0,N
check,V,FAILURE,V,0,3,0,0,V
Not,DT,FAILURE,VM,1,3,1,0,VM
Local,N,FAILURE,N,2,3,2,0,N
check,V,V,V,0,2,0,0,V
Sign,N,N,N,1,2,2,0,N
check,V,V,V,0,2,0,0,V
T,N,N,N,1,2,2,0,N
Check,V,V,V,0,2,0,0,V
Writeable,N,NM,NM,1,2,2,0,NM
choose,V,V,V,0,2,0,0,V
Document,N,N,N,1,2,2,0,N
class,V,N,N,0,2,0,0,NM
Annotations,N,N,NPL,1,2,2,0,NPL
Clear,V,V,NM,0,3,0,0,V
Active,NM,NM,NM,1,3,1,0,NM
ID,N,N,N,2,3,2,0,N
compare,V,V,V,0,5,0,0,V
Inverse,NM,NM,N,1,5,1,0,NM
And,NM,N,CJ,2,5,1,0,CJ
Forward,NM,NM,N,3,5,1,0,NM
Dynamics,N,N,N,4,5,2,0,NPL
context,NM,N,N,0,3,0,0,NM
Url,NM,N,N,1,3,1,0,NM
List,N,N,N,2,3,2,0,N
Convert,V,V,V,0,4,0,0,V
To,P,P,P,1,4,1,0,P
Php,NM,N,N,2,4,1,0,NM
Namespace,N,N,N,3,4,2,0,N
create,V,V,V,0,4,0,0,V
Duplicate,NM,NM,N,1,4,1,0,NM
Change,NM,N,N,2,4,1,0,NM
Id,N,N,N,3,4,2,0,N
create,V,V,V,0,3,0,0,V
In,P,P,P,1,3,1,0,NM
Indices,N,N,NPL,2,3,2,0,NPL
create,V,V,V,0,3,0,0,V
metadata,NM,N,N,1,3,1,0,NM
array,N,N,N,2,3,2,0,N
create,V,V,V,0,3,0,0,V
Sub,NM,N,N,1,3,1,0,NM
Buffer,N,N,N,2,3,2,0,N
current,NM,N,NM,0,2,0,0,NM
Slide,N,V,N,1,2,2,0,N
curves,V,V,NPL,0,1,0,0,NPL
declare,V,V,V,0,2,0,0,V
Component,N,N,N,1,2,2,0,N
deep,NM,NM,NM,0,2,0,0,NM
Stub,N,N,N,1,2,2,0,N
delete,V,V,V,0,1,0,0,V
Delete,V,V,V,0,2,0,0,V
Input,N,N,N,1,2,2,0,N
determine,V,V,V,0,2,0,0,V
Strictness,N,N,N,1,2,2,0,N
dialog,V,N,V,0,3,0,0,NM
info,NM,N,N,1,3,1,0,N
update,N,V,V,2,3,2,0,V
dividend,NM,N,N,0,3,0,0,NM
Discount,NM,N,N,1,3,1,0,NM
Mother,N,V,N,2,3,2,0,N
do,V,V,V,0,2,0,0,V
Forward,N,N,VM,1,2,2,0,V
do,V,V,V,0,3,0,0,V
Install,V,N,N,1,3,1,0,NM
Status,N,N,N,2,3,2,0,N
do,V,V,V,0,3,0,0,V
Login,NM,N,N,1,3,1,0,NM
Entry,N,N,N,2,3,2,0,N
do,V,V,V,0,3,0,0,V
Print,V,N,V,1,3,1,0,V
After,P,P,P,2,3,2,0,P
dump,V,V,V,0,3,0,0,V
cemd,NM,N,N,1,3,1,0,NM
cmd,N,N,N,2,3,2,0,N
dump,V,V,V,0,6,0,0,V
Core,NM,N,N,1,6,1,0,NM
Map,N,N,N,2,6,1,0,N
To,P,P,P,3,6,1,0,P
String,NM,N,N,4,6,1,0,NM
Builder,N,N,N,5,6,2,0,N
dump,V,V,V,0,4,0,0,V
Frame,NM,N,N,1,4,1,0,NM
buffer,NM,N,N,2,4,1,0,NM
Formats,N,N,NPL,3,4,2,0,NPL
dynamic,NM,NM,NM,0,3,0,0,NM
Table,NM,N,N,1,3,1,0,NM
Index,N,N,N,2,3,2,0,N
effective,NM,NM,NM,0,2,0,0,NM
Style,N,N,N,1,2,2,0,N
emit,V,V,V,0,2,0,0,V
Address,N,N,N,1,2,2,0,N
enable,V,V,V,0,3,0,0,V
Background,NM,N,N,1,3,1,0,NM
Opacity,N,N,N,2,3,2,0,N
enable,V,V,V,0,2,0,0,V
Materials,N,N,NPL,1,2,2,0,NPL
expand,V,V,V,0,4,0,0,V
Headers,N,N,NPL,1,4,1,0,NPL
From,P,P,P,2,4,1,0,P
Request,N,N,N,3,4,2,0,N
extract,V,V,V,0,2,0,0,V
Component,N,N,N,1,2,2,0,N
extract,V,V,V,0,4,0,0,V
Raw,NM,NM,N,1,4,1,0,NM
Type,N,N,N,2,4,1,0,NM
Of,P,P,P,3,4,2,0,P
fence,V,V,N,0,1,0,0,N
find,V,V,V,0,4,0,0,V
Hashable,NM,NM,N,1,4,1,0,NM
Base,NM,NM,N,2,4,1,0,NM
Type,N,N,N,3,4,2,0,N
find,V,V,V,0,3,0,0,V
Source,NM,N,N,1,3,1,0,NM
Subdir,N,N,N,2,3,2,0,N
Float,V,N,V,0,1,0,0,N
follow,V,V,V,0,2,0,0,V
Component,N,N,N,1,2,2,0,N
format,V,V,N,0,3,0,0,V
Display,NM,N,V,1,3,1,0,NM
Name,N,N,N,2,3,2,0,N
from,P,P,P,0,3,0,0,P
Byte,NM,N,N,1,3,1,0,NM
Buffers,N,N,N,2,3,2,0,NPL
Generate,V,V,V,0,4,0,0,V
Service,NM,N,N,1,4,1,0,NM
Descriptor,NM,N,N,2,4,1,0,NM
Property,N,N,N,3,4,2,0,N
get,V,V,V,0,3,0,0,V
Actual,NM,NM,NM,1,3,1,0,NM
Values,N,N,NPL,2,3,2,0,NPL
get,V,V,V,0,5,0,0,V
Artificial,NM,NM,NM,1,5,1,0,NM
Op,NM,N,N,2,5,1,0,NM
Prec,NM,N,N,3,5,1,0,NM
Rule,N,N,N,4,5,2,0,N
get,V,V,V,0,3,0,0,V
Binary,NM,NM,NM,1,3,1,0,NM
Side,N,N,N,2,3,2,0,N
get,V,V,V,0,3,0,0,V
Commit,NM,N,V,1,3,1,0,NM
Id,N,N,N,2,3,2,0,N
get,V,N,V,0,2,0,0,V
Completed,N,V,V,1,2,2,0,NM
get,V,V,V,0,6,0,0,V
Constant,NM,NM,NM,1,6,1,0,NM
Reference,N,N,N,2,6,1,0,N
For,P,P,P,3,6,1,0,P
Protocol,NM,N,N,4,6,1,0,NM
Descriptor,N,N,N,5,6,2,0,N
get,V,V,V,0,3,0,0,V
Controller,NM,N,N,1,3,1,0,NM
Transform,N,N,N,2,3,2,0,N
get,V,V,V,0,4,0,0,V
Default,NM,N,N,1,4,1,0,NM
Atlasing,NM,N,N,2,4,1,0,NM
Attributes,N,N,NPL,3,4,2,0,NPL
get,V,V,V,0,4,0,0,V
Default,NM,N,N,1,4,1,0,NM
Install,NM,N,N,2,4,1,0,NM
State,N,N,N,3,4,2,0,N
get,V,V,V,0,3,0,0,V
Diffuse,NM,NM,N,1,3,1,0,NM
Colour,N,N,N,2,3,2,0,N
get,V,V,V,0,3,0,0,V
Display,NM,N,V,1,3,1,0,NM
Path,N,N,N,2,3,2,0,N
Get,V,V,V,0,3,0,0,V
DMF,NM,N,N,1,3,1,0,NM
Header,N,N,N,2,3,2,0,N
get,V,V,V,0,3,0,0,V
Error,NM,N,N,1,3,1,0,NM
Listeners,N,N,NPL,2,3,2,0,NPL
get,V,V,V,0,3,0,0,V
Failure,NM,N,N,1,3,1,0,NM
Timestamp,N,N,N,2,3,2,0,N
get,V,V,V,0,4,0,0,V
Id,N,N,N,1,4,1,0,N
For,P,P,P,2,4,1,0,P
Name,N,N,N,3,4,2,0,N
get,V,V,V,0,4,0,0,V
Initial,NM,NM,NM,1,4,1,0,NM
Window,NM,N,N,2,4,1,0,NM
Size,N,N,N,3,4,2,0,N
get,V,V,V,0,4,0,0,V
Item,NM,N,N,1,4,1,0,NM
Type,NM,N,N,2,4,1,0,NM
Descriptor,N,N,N,3,4,2,0,N
get,V,V,V,0,2,0,0,V
Jf,N,N,N,1,2,2,0,N
get,V,V,V,0,3,0,0,V
Leftmost,NM,NM,N,1,3,1,0,NM
Descendant,N,N,N,2,3,2,0,N
Get,V,V,V,0,2,0,0,V
Longitude,N,N,N,1,2,2,0,N
get,V,V,V,0,4,0,0,V
Max,NM,N,N,1,4,1,0,NM
Shingle,NM,N,N,2,4,1,0,NM
Diff,N,N,N,3,4,2,0,N
Get,V,V,V,0,3,0,0,V
Meta,NM,N,N,1,3,1,0,NM
Index,N,N,N,2,3,2,0,N
get,V,V,V,0,5,0,0,V
Msg,NM,N,N,1,5,1,0,NM
Send,NM,N,V,2,5,1,0,NM
Super,NM,NM,N,3,5,1,0,NM
Ty,N,N,N,4,5,2,0,N
get,V,V,V,0,4,0,0,V
Number,N,N,N,1,4,1,0,N
Of,P,P,P,2,4,1,0,P
Transitions,N,N,NPL,3,4,2,0,NPL
get,V,V,V,0,3,0,0,V
Operations,NM,N,N,1,3,1,0,NM
Reads,N,N,N,2,3,2,0,NPL
get,V,V,V,0,3,0,0,V
Phrase,N,N,N,1,3,1,0,N
1,D,N,D,2,3,2,0,D
get,V,V,V,0,4,0,0,V
PID,NM,N,N,1,4,1,0,N
No,DT,NM,N,2,4,1,0,DT
Exceptions,N,N,NPL,3,4,2,0,NPL
get,V,V,V,0,3,0,0,V
Plane,NM,NM,N,1,3,1,0,NM
Point,N,N,N,2,3,2,0,N
get,V,V,V,0,3,0,0,V
Raw,NM,NM,N,1,3,1,0,NM
Arguments,N,N,NPL,2,3,2,0,NPL
get,V,V,V,0,4,0,0,V
Red,NM,NM,N,1,4,1,0,NM
Adjust,N,N,V,2,4,1,0,N
2,D,N,D,3,4,2,0,D
Get,V,V,V,0,6,0,0,V
Related,NM,NM,N,1,6,1,0,NM
View,NM,N,N,2,6,1,0,NM
Data,NM,N,N,3,6,1,0,NM
Row,NM,N,N,4,6,1,0,N
Double,N,N,NM,5,6,2,0,NM
get,V,V,V,0,4,0,0,V
Top,NM,NM,N,1,4,1,0,NM
Border,NM,N,N,2,4,1,0,NM
Size,N,N,N,3,4,2,0,N
get,V,V,V,0,3,0,0,V
Working,NM,NM,N,1,3,1,0,NM
Directory,N,N,N,2,3,2,0,N
Get,V,V,V,0,3,0,0,V
XCR,N,N,N,1,3,1,0,N
0,D,N,D,2,3,2,0,D
gimp,V,V,V,0,5,0,0,PRE
canvas,NM,N,N,1,5,1,0,NM
rectangle,NM,N,N,2,5,1,0,N
set,NM,NM,N,3,5,1,0,V
property,N,N,N,4,5,2,0,N
gimp,V,V,V,0,4,0,0,PRE
devices,NM,N,NPL,1,4,1,0,NPL
check,NM,N,N,2,4,1,0,V
change,N,N,N,3,4,2,0,V
gimp,V,V,N,0,3,0,0,PRE
eraser,NM,N,N,1,3,1,0,N
default,N,N,N,2,3,2,0,NM
gimp,V,V,V,0,5,0,0,PRE
filter,NM,N,N,1,5,1,0,NM
tool,NM,N,N,2,5,1,0,N
set,NM,NM,N,3,5,1,0,V
gyroscope,N,N,N,4,5,2,0,N
gimp,V,V,V,0,5,0,0,PRE
image,NM,N,N,1,5,1,0,NM
file,NM,N,N,2,5,1,0,N
get,NM,N,V,3,5,1,0,V
thumbnail,N,N,NM,4,5,2,0,N
gimp,V,V,V,0,5,0,0,PRE
param,NM,N,N,1,5,1,0,NM
drawable,NM,NM,NM,2,5,1,0,NM
id,NM,N,N,3,5,1,0,N
init,N,N,N,4,5,2,0,V
gimp,V,V,V,0,5,0,0,PRE
selection,NM,N,N,1,5,1,0,NM
tool,NM,N,N,2,5,1,0,NM
class,NM,N,N,3,5,1,0,N
init,N,N,N,4,5,2,0,V
gimp,NM,V,V,0,5,0,0,PRE
status,NM,N,N,1,5,1,0,NM
bar,NM,N,N,2,5,1,0,NM
progress,N,N,N,3,5,1,0,N
canceled,P,V,V,4,5,2,0,V
gimp,V,V,V,0,5,0,0,PRE
value,NM,N,N,1,5,1,0,N
set,NM,NM,V,2,5,1,0,V
int32,NM,N,N,3,5,1,0,NM
array,D,N,N,4,5,2,0,N
gimp,V,V,V,0,3,0,0,PRE
wire,NM,N,N,1,3,1,0,N
compare,N,N,V,2,3,2,0,V
global,NM,NM,NM,0,2,0,0,NM
Scope,N,N,N,1,2,2,0,N
gpencil,NM,N,V,0,3,0,0,NM
primitive,NM,N,NM,1,3,1,0,NM
modal,N,NM,N,2,3,2,0,N
grpc,V,N,V,0,5,0,0,PRE
chttp2,NM,N,N,1,5,1,0,PRE
mark,NM,N,N,2,5,1,0,V
stream,NM,N,N,3,5,1,0,N
writable,NM,NM,N,4,5,2,0,NM
grpc,V,N,V,0,5,0,0,PRE
json,NM,N,N,1,5,1,0,NM
writer,NM,N,N,2,5,1,0,NM
value,NM,N,N,3,5,1,0,NM
string,N,N,N,4,5,2,0,N
grpc,V,N,V,0,5,0,0,PRE
sock,NM,N,N,1,5,1,0,NM
addr,NM,N,NM,2,5,1,0,N
make,NM,N,N,3,5,1,0,V
wildcards,N,N,NPL,4,5,2,0,NPL
Handle,V,V,V,0,2,0,0,V
If,N,N,P,1,2,2,0,CJ
has,V,V,V,0,3,0,0,V
Composite,NM,NM,N,1,3,1,0,NM
Op,N,N,N,2,3,2,0,N
has,V,V,V,0,6,0,0,V
View,NM,N,N,1,6,1,0,NM
Relative,NM,NM,NM,2,6,1,0,NM
Texture,NM,N,N,3,6,1,0,NM
Coordinate,NM,NM,NM,4,6,1,0,NM
Generation,N,N,N,5,6,2,0,N
ico,V,V,V,0,3,0,0,PRE
load,NM,N,N,1,3,1,0,V
layer,N,FAILURE,N,2,3,2,0,N
is,V,V,V,0,4,0,0,V
Blocked,N,NM,V,1,4,1,0,V
By,P,P,P,2,4,1,0,P
Shutdown,N,N,N,3,4,2,0,N
imb,V,N,V,0,4,0,0,PRE
stereo3d,NM,N,NM,1,4,1,0,NM
read,D,N,N,2,4,1,0,V
interlace,NM,V,V,3,4,2,0,N
in,P,P,P,0,2,0,0,P
SCC,N,N,N,1,2,2,0,N
inflation,NM,N,N,0,3,0,0,NM
Leg,NM,N,N,1,3,1,0,NM
NPV,N,N,N,2,3,2,0,N
init,V,V,V,0,3,0,0,V
For,P,P,P,1,3,1,0,P
Group,N,N,N,2,3,2,0,N
Initialize,V,V,V,0,3,0,0,V
Dual,NM,NM,NM,1,3,1,0,NM
Graph,N,N,N,2,3,2,0,N
is,V,V,V,0,2,0,0,V
Android,N,N,N,1,2,2,0,N
is,V,V,V,0,2,0,0,V
canon,N,N,N,1,2,2,0,N
is,V,V,V,0,3,0,0,V
Conscrypt,NM,N,N,1,3,1,0,N
Preferred,N,V,N,2,3,2,0,V
is,V,V,V,0,3,0,0,V
Dependency,NM,N,N,1,3,1,0,N
Changed,N,V,N,2,3,2,0,V
is,V,V,V,0,5,0,0,V
Generic,NM,NM,NM,1,5,1,0,NM
Type,NM,N,N,2,5,1,0,NM
Disambiguating,NM,N,N,3,5,1,0,NM
Token,N,V,N,4,5,2,0,N
is,V,V,V,0,3,0,0,V
Stdlib,NM,N,N,1,3,1,0,NM
Module,N,N,N,2,3,2,0,N
is,V,V,V,0,3,0,0,V
Sum,NM,N,N,1,3,1,0,N
Supported,N,V,N,2,3,2,0,V
is,V,V,V,0,4,0,0,V
Valid,NM,NM,N,1,4,1,0,NM
Trailing,NM,N,N,2,4,1,0,NM
Closure,N,N,N,3,4,2,0,N
keep,V,FAILURE,V,0,5,0,0,V
Readability,NM,FAILURE,N,1,5,1,0,NM
Only,N,FAILURE,VM,2,5,1,0,VM
On,P,FAILURE,P,3,5,1,0,P
Descendants,N,FAILURE,NPL,4,5,2,0,NPL
last,DT,V,NM,0,2,0,0,NM
Gradient,N,N,N,1,2,2,0,N
layer,V,V,N,0,5,0,0,NM
get,NM,NM,V,1,5,1,0,V
composite,NM,N,NM,2,5,1,0,NM
mode,NM,N,N,3,5,1,0,NM
invoker,N,FAILURE,N,4,5,2,0,N
lower,V,V,NM,0,3,0,0,NM
Boundary,NM,N,N,1,3,1,0,NM
Factor,N,N,N,2,3,2,0,N
make,V,V,V,0,3,0,0,V
HTML,NM,N,N,1,3,1,0,NM
Table,N,N,N,2,3,2,0,N
mark,NM,V,V,0,3,0,0,V
As,N,P,P,1,3,1,0,P
Fetching,V,NM,N,2,3,2,0,V
match,V,V,V,0,3,0,0,V
By,P,P,P,1,3,1,0,P
IP,N,N,N,2,3,2,0,N
matches,V,N,V,0,4,0,0,V
Any,DT,DT,DT,1,4,1,0,DT
Parent,NM,N,N,2,4,1,0,NM
Categories,N,N,NPL,3,4,2,0,NPL
max,V,V,V,0,3,0,0,NM
Draw,NM,N,V,1,3,1,0,NM
Buffers,N,FAILURE,NPL,2,3,2,0,NPL
maximize,V,V,V,0,2,0,0,V
All,DT,N,N,1,2,2,0,DT
metadata,NM,N,V,0,2,0,0,NM
Snapshot,N,N,N,1,2,2,0,N
new,NM,V,NM,0,2,0,0,NM
Exchange,N,FAILURE,N,1,2,2,0,N
next,DT,FAILURE,NM,0,2,0,0,NM
Unassigned,P,FAILURE,N,1,2,2,0,NM
nla,V,N,V,0,4,0,0,NM
invert,NM,N,VM,1,4,1,0,V
combine,NM,N,V,2,4,1,0,NM
value,N,N,N,3,4,2,0,N
node,NM,V,N,0,5,0,0,N
find,NM,N,V,1,5,1,0,V
output,NM,P,N,2,5,1,0,N
by,NM,N,P,3,5,1,0,P
name,N,FAILURE,N,4,5,2,0,N
notify,V,V,V,0,3,0,0,V
Touch,V,N,N,1,3,1,0,NM
Down,N,P,N,2,3,2,0,N
null,NM,FAILURE,NM,0,7,0,0,N
Passed,NM,FAILURE,V,1,7,1,0,V
To,NM,FAILURE,P,2,7,1,0,P
Verify,NM,FAILURE,V,3,7,1,0,V
No,DT,FAILURE,DT,4,7,1,0,VM
More,DT,FAILURE,NM,5,7,1,0,DT
Interactions,N,FAILURE,NPL,6,7,2,0,NPL
nulls,NM,N,NPL,0,2,0,0,NPL
Ok,N,NM,V,1,2,2,0,NM
object,V,FAILURE,V,0,4,0,0,N
With,P,FAILURE,P,1,4,1,0,P
To,NM,FAILURE,P,2,4,1,0,P
String,N,FAILURE,N,3,4,2,0,N
of,P,FAILURE,P,0,3,0,0,PRE
To,NM,FAILURE,P,1,3,1,0,P
Binary,N,FAILURE,N,2,3,2,0,N
on,NM,P,P,0,5,0,0,P
Group,NM,N,N,1,5,1,0,NM
Call,NM,N,N,2,5,1,0,NM
Key,N,NM,N,3,5,1,0,N
Sent,P,N,N,4,5,2,0,NM
on,NM,P,P,0,2,0,0,P
Implies,N,N,NPL,1,2,2,0,V
optimize,V,V,V,0,4,0,0,V
Identity,NM,N,N,1,4,1,0,NM
Cast,NM,N,V,2,4,1,0,NM
Composition,N,N,N,3,4,2,0,N
order,V,FAILURE,V,0,2,0,0,V
With,P,FAILURE,N,1,2,2,0,P
palette,NM,V,V,0,2,0,0,N
poll,N,FAILURE,N,1,2,2,0,V
parent,V,V,N,0,2,0,0,NM
Pairs,N,N,NPL,1,2,2,0,NPL
parse,V,V,V,0,3,0,0,V
Attribute,NM,N,N,1,3,1,0,NM
Def,N,N,N,2,3,2,0,N
parse,V,V,V,0,2,0,0,V
Expires,N,N,NPL,1,2,2,0,NPL
parse,V,V,V,0,3,0,0,V
Max,NM,N,N,1,3,1,0,NM
Age,N,N,N,2,3,2,0,N
path,NM,FAILURE,N,0,4,0,0,N
With,NM,FAILURE,P,1,4,1,0,P
Native,NM,FAILURE,NM,2,4,1,0,NM
Separators,N,FAILURE,NPL,3,4,2,0,NPL
png,PRE,V,VM,0,4,0,0,NM
do,V,N,V,1,4,1,0,V
strip,V,N,N,2,4,1,0,V
channel,N,FAILURE,N,3,4,2,0,N
png,PRE,V,V,0,4,0,0,NM
get,V,N,V,1,4,1,0,V
row,NM,N,N,2,4,1,0,NM
bytes,N,FAILURE,NPL,3,4,2,0,NPL
png,PRE,V,V,0,3,0,0,NM
get,V,N,V,1,3,1,0,V
rows,N,FAILURE,NPL,2,3,2,0,NPL
png,PRE,V,V,0,4,0,0,NM
get,V,NM,V,1,4,1,0,V
unknown,NM,N,NM,2,4,1,0,NM
chunks,N,FAILURE,NPL,3,4,2,0,NPL
png,PRE,V,N,0,4,0,0,NM
init,V,N,N,1,4,1,0,V
palette,NM,N,N,2,4,1,0,NM
transformations,N,FAILURE,NPL,3,4,2,0,NPL
png,PRE,V,VM,0,4,0,0,NM
read,V,N,V,1,4,1,0,V
IDAT,NM,N,N,2,4,1,0,NM
data,N,FAILURE,NPL,3,4,2,0,N
pnm,V,V,V,0,4,0,0,NM
load,NM,NM,N,1,4,1,0,V
raw,NM,N,NM,2,4,1,0,NM
pfm,N,FAILURE,N,3,4,2,0,N
presentation,NM,V,N,0,4,0,0,N
Start,NM,P,N,1,4,1,0,V
From,NM,N,P,2,4,1,0,P
First,N,FAILURE,N,3,4,2,0,NM
process,V,V,V,0,2,0,0,NM
Helper,N,N,N,1,2,2,0,N
push,V,V,V,0,3,0,0,V
Reset,NM,N,N,1,3,1,0,N
Later,N,NM,VM,2,3,2,0,VM
pybullet,V,V,V,0,4,0,0,PRE
compute,NM,N,V,1,4,1,0,V
View,NM,N,N,2,4,1,0,NM
Matrix,N,FAILURE,N,3,4,2,0,N
read,V,V,V,0,4,0,0,V
Element,NM,N,N,1,4,1,0,NM
Text,NM,N,V,2,4,1,0,NM
Span,N,N,N,3,4,2,0,N
read,V,V,V,0,2,0,0,V
Pass,N,N,N,1,2,2,0,N
read,V,V,V,0,2,0,0,V
Response,N,N,N,1,2,2,0,N
read,V,V,V,0,2,0,0,V
subframe,N,N,N,1,2,2,0,N
Read,V,V,V,0,3,0,0,V
Text,NM,N,V,1,3,1,0,NM
File,N,N,N,2,3,2,0,N
read,V,V,V,0,3,0,0,V
White,NM,NM,N,1,3,1,0,NM
Space,N,N,N,2,3,2,0,N
reapply,V,V,V,0,2,0,0,V
Filter,N,N,N,1,2,2,0,N
register,V,V,V,0,4,0,0,V
With,P,P,P,1,4,1,0,P
Volatility,NM,N,N,2,4,1,0,NM
Spread,N,N,N,3,4,2,0,N
remap,V,FAILURE,V,0,3,0,0,V
Nearest,NM,FAILURE,N,1,3,1,0,NM
Neighbor,N,FAILURE,N,2,3,2,0,N
remove,V,V,V,0,4,0,0,V
Imported,NM,NM,N,1,4,1,0,NM
Parent,NM,N,N,2,4,1,0,NM
Contexts,N,N,N,3,4,2,0,NPL
render,V,V,V,0,5,0,0,V
result,NM,N,N,1,5,1,0,NM
exr,NM,N,N,2,5,1,0,NM
file,NM,N,N,3,5,1,0,NM
end,N,N,N,4,5,2,0,N
Render,V,V,N,0,2,0,0,V
Text,N,N,V,1,2,2,0,N
report,NM,V,V,0,4,0,0,V
No,DT,NM,N,1,4,1,0,DT
Setter,N,N,N,2,4,1,0,N
Found,P,N,N,3,4,2,0,V
repress,V,V,V,0,4,0,0,V
Ref,N,N,N,1,4,1,0,N
At,P,P,P,2,4,1,0,P
Loc,N,N,N,3,4,2,0,N
require,V,V,V,0,3,0,0,V
Client,NM,N,N,1,3,1,0,NM
Auth,N,N,N,2,3,2,0,N
reset,V,V,V,0,4,0,0,V
Meta,NM,N,N,1,4,1,0,NM
Class,NM,N,N,2,4,1,0,NM
Cache,N,N,N,3,4,2,0,N
Reset,V,V,V,0,3,0,0,V
Token,NM,NM,NM,1,3,1,0,NM
Stats,N,N,NPL,2,3,2,0,NPL
resize,V,V,V,0,4,0,0,V
Linear,NM,NM,N,1,4,1,0,NM
Open,NM,NM,N,2,4,1,0,NM
CV,N,N,N,3,4,2,0,N
resize,V,FAILURE,V,0,3,0,0,V
Nearest,NM,FAILURE,N,1,3,1,0,NM
Neighbor,N,FAILURE,N,2,3,2,0,N
rgb,V,N,V,0,3,0,0,N
2,D,NM,D,1,3,1,0,P
rgb565,N,N,N,2,3,2,0,N
rgbx,V,N,V,0,3,0,0,N
2,D,NM,D,1,3,1,0,P
bgrx,N,N,N,2,3,2,0,N
run,V,V,V,0,2,0,0,V
Methods,N,N,NPL,1,2,2,0,NPL
sanitize,V,V,V,0,2,0,0,V
Path,N,N,N,1,2,2,0,N
saturated,V,NM,V,0,2,0,0,NM
cast,N,N,N,1,2,2,0,N
save,V,V,V,0,4,0,0,V
As,P,P,P,1,4,1,0,P
Quadratic,NM,NM,N,2,4,1,0,NM
